1042 55 1103
1042 61 1108
1043 59 1110
1044 38 1091
1045 61 1103
1046 58 1111
1047 61 1122
1048 39 1109
1049 50 1107
1050 60 1115
1051 59 1121
1052 62 1128
1053 62 1127
1054 56 1124
1055 53 1129
1056 61 1147
1057 55 1151
1058 62 1157
1059 51 1155
1060 54 1162
1061 50 1161
1062 59 1162
1063 57 1157
1064 49 1147
1065 47 1157
1066 51 1147
1067 40 1129
1068 49 1117
1069 48 1126
1070 54 1133
1071 58 1128
1072 53 1123
1073 60 1120
1074 53 1112
1075 64 1121
1076 49 1116
1077 60 1115
1078 61 1121
1079 53 1112
1080 55 1116
1081 57 1118
1082 55 1123
1083 56 1121
1084 54 1118
1085 68 1135
1086 58 1146
1087 53 1145
1088 70 1173
1089 60 1182
1090 60 1193
1091 63 1201
1092 49 1192
1093 70 1209
1094 60 1209
1095 61 1214
1096 51 1200
1097 47 1199
1098 56 1196
1099 52 1183
1100 57 1187
1101 60 1191
1102 60 1195
1103 77 1214
1104 59 1217
1105 60 1221
1106 60 1214
1107 58 1212
1108 54 1213
1109 59 1203
1110 48 1192
1111 63 1197
1112 48 1181
1113 52 1186
1114 50 1163
1115 56 1157
1116 55 1154
1117 53 1155
1118 57 1164
1119 59 1165
1120 54 1169
1121 69 1180
1122 62 1181
1123 56 1177
1124 71 1169
1125 58 1167
1126 62 1173
1127 41 1156
1128 54 1152
1129 57 1155
1130 47 1144
1131 64 1160
1132 49 1147
1133 67 1168
1134 64 1179
1135 57 1186
1136 67 1196
1137 78 1216
1138 52 1215
1139 53 1207
1140 68 1215
