1042 37 20 17 2 2 3 2 3 1
1043 31 17 14 5 3 3 6 0 1
1044 25 12 13 5 1 3 3 0 0
1045 33 17 16 5 6 5 4 1 3
1046 27 14 13 1 4 6 5 2 1
1047 26 13 13 1 1 4 4 1 0
1048 28 16 12 1 5 3 2 0 1
1049 47 23 24 2 4 2 4 0 0
1050 33 17 16 5 3 2 6 1 0
1051 31 10 21 4 1 5 0 1 4
1052 30 15 15 5 4 3 2 0 1
1053 35 14 21 1 6 3 2 1 0
1054 41 24 17 1 1 5 1 0 1
1055 32 18 14 3 5 5 3 1 1
1056 26 12 14 4 2 1 3 0 1
1057 47 24 23 2 2 4 2 0 0
1058 26 13 13 3 5 4 6 1 0
1059 38 23 15 4 0 4 2 0 4
1060 28 13 15 6 3 3 3 1 1
1061 43 22 21 5 1 6 3 0 1
1062 28 11 17 0 0 4 4 1 1
1063 31 21 10 3 5 3 4 0 1
1064 23 9 14 4 2 4 1 1 0
1065 25 14 11 1 5 4 6 0 1
1066 32 15 17 1 4 4 3 0 2
1067 44 21 23 2 3 0 3 1 0
1068 37 15 22 1 5 3 3 0 1
1069 34 14 20 6 2 3 2 0 0
1070 38 15 23 1 5 6 1 0 0
1071 32 14 18 1 3 3 2 1 0
1072 31 13 18 1 1 6 3 1 0
1073 39 23 16 3 4 3 2 0 1
1074 28 15 13 1 2 4 1 0 1
1075 32 15 17 8 5 2 4 1 2
1076 37 15 22 5 2 1 3 0 0
1077 33 20 13 3 2 1 3 3 0
1078 19 11 8 2 2 6 6 2 0
1079 36 19 17 2 5 2 2 1 2
1080 28 16 12 1 2 4 3 1 0
1081 35 16 19 3 4 3 6 1 0
1082 39 19 20 4 4 1 4 0 2
1083 32 10 22 2 5 3 5 1 0
1084 30 13 17 1 4 4 5 2 2
1085 32 16 16 6 5 1 2 0 1
1086 36 20 16 8 4 3 1 0 1
1087 27 11 16 4 3 3 7 2 0
1088 30 19 11 7 3 3 2 0 0
1089 28 15 13 2 2 7 1 2 0
1090 36 18 18 2 3 3 3 1 0
1091 33 18 15 3 6 4 5 1 1
1092 26 11 15 4 3 3 1 1 1
1093 33 14 19 1 3 7 1 0 2
